Time,3,6,9,12,15,18,21,24
accuracy,90.64%,91.02%,90.67%,90.38%,89.40%,90.00%,90.14%,90.17%
kappa,0.667,0.680,0.668,0.656,0.623,0.643,0.648,0.643
weighted_mean_recall,80.17%,80.79%,80.26%,79.63%,78.27%,79.05%,79.29%,78.53%
weighted_mean_precision,87.92%,88.70%,87.96%,87.50%,85.33%,86.72%,86.96%,87.84%
spearman_rho,0.677,0.690,0.678,0.667,0.632,0.653,0.658,0.657
kendall_tau,0.677,0.690,0.678,0.667,0.632,0.653,0.658,0.657
absolute_error,0.160 +/- 0.218,0.157 +/- 0.220,0.155 +/- 0.219,0.156 +/- 0.223,0.155 +/- 0.227,0.152 +/- 0.226,0.157 +/- 0.228,0.155 +/- 0.225
relative_error,16.01% +/- 21.76%,15.67% +/- 22.01%,15.53% +/- 21.95%,15.58% +/- 22.26%,15.49% +/- 22.66%,15.25% +/- 22.60%,15.65% +/- 22.75%,15.48% +/- 22.51%
relative_error_lenient,16.01% +/- 21.76%,15.67% +/- 22.01%,15.53% +/- 21.95%,15.58% +/- 22.26%,15.49% +/- 22.66%,15.25% +/- 22.60%,15.65% +/- 22.75%,15.48% +/- 22.51%
relative_error_strict,65.19% +/- 247.69%,69.93% +/- 278.53%,67.76% +/- 282.43%,66.00% +/- 264.45%,73.39% +/- 301.76%,72.98% +/- 314.53%,75.74% +/- 317.99%,72.51% +/- 306.34%
normalized_absolute_error,0.834,0.816,0.809,0.811,0.807,0.794,0.815,0.806
root_mean_squared_error,0.270 +/- 0.000,0.270,0.269 +/- 0.000,0.272 +/- 0.000,0.274 +/- 0.000,0.273 +/- 0.000,0.276 +/- 0.000,0.273 +/- 0.000
root_relative_squared_error,1.407,1.408,1.400,1.415,1.430,1.420,1.439,1.423
squared_error,0.073 +/- 0.183,0.073 +/- 0.186,0.072 +/- 0.182,0.074 +/- 0.185,0.075 +/- 0.190,0.074 +/- 0.189,0.076 +/- 0.192,0.075 +/- 0.188
correlation,0.677,0.690,0.678,0.667,0.632,0.653,0.658,0.657
squared_correlation,0.458,0.477,0.459,0.444,0.400,0.427,0.433,0.432
cross-entropy,0.364,0.364,0.357,0.360,0.368,0.362,0.373,0.365
margin,0.030,0.026,0.028,0.023,0.021,0.019,0.020,0.021
soft_margin_loss,0.160,0.157,0.155,0.156,0.155,0.152,0.157,0.155
logistic_loss,0.364,0.363,0.363,0.363,0.363,0.362,0.364,0.363
